Time (s), X (m/s2), Y (m/s2), Z (m/s2)
0,0.418334,-14.655024,-2.960852
0.0198531,-1.906225,-11.130864,-0.053774
0.0397062,-1.858015,-11.237109,-0.319568
0.0595578,-1.448511,-10.177952,0.456316
0.0794109,-1.228369,-9.996664,-0.043086
0.0992641,-1.200481,-8.392098,0.116329
0.1191156,-1.045328,-7.177548,0.125696
0.1389688,-1.466008,-8.515448,-0.630403
0.1588219,-2.007203,-9.934577,0.727004
0.178675,-1.88168,-8.782583,1.33267
0.1985266,-2.249017,-8.787343,0.518153
0.2183797,-2.619209,-9.258302,0.179105
0.2382328,-2.388168,-9.702856,0.226463
0.2580844,-2.388369,-10.046942,0.236672
0.2779375,-2.24556,-10.072282,0.137389
0.2977906,-2.186174,-9.948587,0.074986
0.3176422,-2.285649,-9.764561,0.076136
0.3374937,-2.449479,-9.735724,-0.042109
0.3573469,-2.531342,-9.83765,0.336759
0.3772,-2.508386,-10.390874,0.024852
0.3970515,-2.466947,-10.575879,0.173091
0.4169062,-2.536973,-10.687612,-0.055804
0.4367578,-2.720148,-11.251483,-1.254887
0.4566109,-1.975571,-13.125378,-2.083138
0.4764625,-0.888105,-12.992154,-0.801924
0.4963156,-0.953879,-11.798453,-1.210164
0.5161687,-1.881048,-10.274238,-0.433504
0.5360203,-3.122815,-8.921149,0.75855
0.5558734,-2.750507,-10.283805,-1.167528
0.5757266,-2.257512,-10.714867,-1.912326
0.5955797,-1.436521,-9.305438,-2.021788
0.6154312,-1.13918,-8.327675,-2.569208
0.6352843,-0.874889,-7.46015,-2.725425
0.6551375,-0.568336,-7.040811,-3.141863
0.674989,0.022668,-7.093158,-3.156037
0.6948422,0.456909,-8.266862,-3.047637
0.7146953,0.643925,-9.315082,-2.885415
0.7345468,0.439547,-9.601467,-2.44335
0.7544,0.031872,-9.044423,-2.828941
0.7742531,-0.046467,-8.741709,-2.877466
0.7941047,-0.489337,-8.896863,-2.7803
0.8139578,-0.648149,-8.862741,-2.832858
0.8338109,-0.81445,-9.523675,-1.756051
0.853664,-0.957068,-9.104363,-2.27068
0.8735156,-1.1616,-8.988532,-2.530422
0.8933687,-1.154819,-9.224888,-2.304467
0.9132218,-0.992425,-9.49617,-2.452343
0.933075,-0.643858,-9.562106,-2.442258
0.9529266,-0.432958,-9.740685,-2.340476
0.9727797,-0.201113,-9.759982,-2.172269
0.9926328,-0.161053,-9.60368,-1.894532
1.0124843,-0.181346,-9.607942,-1.725262
1.0323374,-0.139486,-9.619184,-1.549652
1.0521907,-0.153315,-9.436736,-1.414025
1.0720421,-0.142867,-9.261279,-1.429176
1.0918952,-0.145357,-9.1773,-1.392678
1.1117485,-0.10568,-9.603124,-1.365758
1.1316,-0.271483,-9.804983,-1.325574
1.1514531,-0.390648,-9.911918,-1.178704
1.1713063,-0.503012,-9.695704,-0.962795
1.1911594,-0.749615,-9.620506,-0.721153
1.2110109,-1.152406,-9.838943,-0.629838
1.2308639,-1.401556,-10.150725,-0.445274
1.2507172,-1.302503,-10.328663,-0.250692
1.2705686,-0.998861,-10.37668,-0.086048
1.2904218,-0.968464,-10.508524,-0.076892
1.310275,-0.984812,-10.505019,0.096486
1.3301265,-1.092024,-10.391486,0.283694
1.3499796,-1.182151,-10.147173,0.51166
1.3698328,-1.15277,-10.003759,0.757343
1.3896859,-1.040041,-10.227876,0.182745
1.4095376,-1.984879,-11.994462,-1.01766
1.429389,-4.164867,-13.013712,-1.00996
1.4492438,-3.886584,-10.50458,-1.025638
1.4690952,-2.081481,-9.244884,-1.023397
1.4889485,-0.351057,-9.351551,-1.396097
1.5088015,0.119576,-9.83969,-2.329855
1.5286531,-0.00793,-9.698709,-2.973627
1.5485047,-0.460146,-8.679882,-3.357159
1.5683577,-0.976796,-7.536919,-3.121033
1.5882109,-1.784925,-7.338151,-2.634072
1.6080639,-2.477979,-8.164237,-2.343292
1.6279156,-2.802643,-9.252642,-2.2408
1.6477686,-2.901753,-9.617422,-2.221608
1.6676219,-2.797318,-9.474708,-2.30282
1.6874734,-2.985905,-9.371854,-2.149045
1.7073265,-3.1003,-9.397242,-2.100452
1.7271796,-2.983127,-9.205677,-2.199285
1.7470328,-2.712477,-8.969407,-2.178341
1.7668843,-2.396586,-8.874357,-2.196584
1.7867374,-2.037916,-9.062887,-2.074461
1.8065906,-1.662802,-9.209958,-1.922764
1.8264437,-1.5481,-9.347221,-1.820254
1.8462952,-1.483763,-9.055484,-1.794818
1.8661485,-1.793046,-9.048033,-1.660704
1.8860015,-2.026328,-9.030488,-1.633487
1.9058532,-2.091565,-9.066401,-1.585958
1.9257061,-2.023043,-9.213951,-1.468278
1.9455594,-1.904281,-9.156299,-1.368535
1.9654109,-1.937972,-9.279456,-1.29646
1.9852639,-1.998957,-9.470101,-1.238271
2.0051172,-1.996917,-9.406061,-1.078425
2.0249686,-2.225382,-9.212333,-0.929027
2.0448217,-2.521305,-9.279332,-0.874477
2.0646749,-2.690652,-9.381258,-0.769458
2.084528,-2.536178,-9.349511,-0.720003
2.1043797,-2.364715,-9.252383,-0.639759
2.1242328,-2.429933,-9.304988,-0.740354
2.1440859,-2.464572,-9.567738,-0.743352
2.1639376,-2.449172,-9.591851,-0.726315
2.1837904,-2.49019,-9.691087,-0.736389
2.2036436,-2.525366,-9.78268,-0.710235
2.2234952,-2.814068,-9.961546,-0.490639
2.2433484,-2.953593,-10.007868,-0.351249
2.2632015,-3.006916,-9.863574,-0.200462
2.2830529,-2.974949,-9.753824,-0.033308
2.3029063,-3.119022,-9.652023,0.016357
2.3227594,-3.02811,-9.838511,-0.34149
2.3426125,-2.829688,-10.804946,-1.361975
2.362464,-2.16772,-12.661487,-1.965304
2.3823173,-0.870924,-12.148572,-2.499901
2.4021702,-0.491855,-11.045315,-2.140972
2.4220233,-1.213046,-9.94332,-0.838564
2.441875,-2.048623,-9.950532,-1.213142
2.4617279,-2.642433,-9.34953,-0.752297
2.4815798,-2.887292,-8.326296,-1.530537
2.5014327,-2.296959,-7.674288,-2.290657
2.5212858,-1.488427,-7.456598,-2.786631
2.5411389,-0.489988,-7.903911,-3.309361
2.5609906,0.335169,-8.651314,-3.274282
2.5808437,0.816806,-9.299549,-3.193722
2.6006968,0.678488,-9.208646,-3.190992
2.6205482,0.332574,-9.081016,-2.952625
2.6404016,-0.255117,-9.233047,-2.655352
2.6602547,-0.776842,-9.324677,-2.58682
2.6801062,-1.117891,-9.410237,-2.522014
2.6999593,-1.170554,-9.41313,-2.32907
2.7198107,-1.308249,-9.391218,-2.173389
2.7396641,-1.477309,-9.465927,-2.061073
2.7595172,-1.748514,-9.576213,-1.933576
2.7793701,-1.883518,-9.581959,-1.785825
2.7992218,-1.578899,-9.547148,-1.724859
2.8190751,-1.473947,-9.765049,-1.788679
2.838928,-1.304438,-9.755692,-1.771862
2.8587811,-0.977706,-9.724893,-1.601616
2.8786325,-0.781151,-9.594687,-1.65152
2.8984859,-0.904194,-9.623905,-1.541837
2.918339,-1.177095,-9.60006,-1.368248
2.9381905,-1.312568,-9.47218,-1.207032
2.9580436,-1.244975,-9.386477,-1.210575
2.9778969,-1.113093,-9.420733,-1.011713
2.9977484,-1.138797,-9.427792,-0.906665
3.0176015,-1.187754,-9.274152,-0.8054
3.0374546,-1.102606,-9.266451,-0.619524
3.0573063,-1.048938,-9.33028,-0.459256
3.0771594,-1.001131,-9.342884,-0.481551
3.0970109,-1.035329,-9.369727,-0.679925
3.116864,-0.925254,-9.426173,-0.867247
3.1367173,-0.964605,-9.602033,-0.840422
3.1565702,-0.742413,-9.657682,-0.816452
3.1764233,-0.571467,-9.816716,-0.653023
3.1962748,-0.647833,-10.02322,-0.42973
3.2161279,-0.954674,-10.041971,-0.066061
3.2359812,-1.191135,-10.203876,0.177497
3.2558327,-1.26365,-10.243611,0.468804
3.2756858,-1.493982,-10.31584,0.636427
3.2955389,-1.916884,-10.561216,-0.14371
3.3153906,-3.293818,-11.85577,-0.582471
3.3352437,-4.108182,-11.380244,-1.037877
3.3550968,-3.674602,-10.71593,-1.225601
3.3749483,-2.61466,-10.446027,-0.855898
3.3948016,-1.512005,-10.277571,-0.970236
3.4146547,-0.880156,-10.26649,-1.404017
3.4345062,-0.83165,-10.063414,-2.051601
3.4543593,-1.049168,-9.411463,-2.535852
3.4742124,-1.279979,-8.550019,-2.5988
3.4940655,-1.774946,-8.145974,-2.461527
3.513917,-2.500868,-8.327828,-2.303892
3.5337701,-3.252293,-8.676855,-2.059339
3.5536218,-3.536303,-8.829442,-1.895432
3.5734749,-3.601128,-8.816725,-1.732358
3.593328,-3.419571,-8.801899,-1.696282
3.6131794,-3.135313,-8.767432,-1.674265
3.6330326,-2.889524,-8.843368,-1.819938
3.6528859,-2.852059,-9.145286,-1.85881
3.672739,-2.807527,-9.456647,-1.935176
3.6925905,-2.551625,-9.661944,-1.91087
3.7124436,-2.237755,-9.553287,-1.976615
3.7322969,-1.883423,-9.251559,-2.074289
3.7521484,-1.478783,-9.155303,-1.783967
3.7720015,-1.555618,-9.125845,-1.722705
3.7918544,-1.977448,-8.648843,-1.558242
3.8117077,-2.498435,-9.002074,-1.329481
3.8315594,-2.569093,-9.430407,-1.22517
3.8514123,-2.448521,-9.512872,-1.216906
3.871264,-2.331119,-9.155514,-1.220545
3.8911171,-2.599078,-8.939959,-1.109004
3.9109702,-3.038223,-8.94831,-1.003199
3.9308233,-3.314044,-9.009429,-0.991583
3.9506764,-3.40806,-9.19339,-0.943172
3.9705279,-3.327873,-9.095438,-0.914384
3.9903812,-3.341022,-9.025604,-0.952327
4.0102344,-3.397717,-9.224477,-1.070151
4.0300856,-3.299823,-9.563399,-1.033979
4.0499372,-3.196489,-9.262803,-1.048306
4.0697908,-3.141308,-9.126142,-1.08375
4.0896435,-3.023101,-9.076467,-1.030024
4.1094966,-3.065957,-9.327024,-0.846676
4.1293483,-3.136701,-9.494829,-0.700754
4.1492014,-3.187362,-9.6374,-0.361611
4.1690545,-3.248558,-9.607395,0.076231
4.1889076,-3.499748,-9.533721,0.235848
4.2087593,-3.948489,-9.806785,0.051437
4.2286124,-3.988606,-11.220311,-1.108717
4.2484655,-3.053584,-11.954747,-1.231826
4.2683172,-2.143989,-11.216586,-1.694482
4.2881703,-1.809442,-10.280606,-1.122421
4.308023,-2.123494,-9.313128,-0.687145
4.3278766,-2.741131,-9.126142,-0.681639
4.3477278,-2.93917,-9.344894,-0.899042
4.3675809,-2.722093,-9.612825,-1.316121
4.3874331,-2.315902,-9.73245,-1.805946
4.4072857,-1.753293,-9.323318,-2.02606
4.4271388,-1.293127,-8.967415,-2.326743
4.4469924,-0.913129,-8.662078,-2.69566
4.4668436,-0.675653,-8.456196,-2.875838
4.4866967,-0.783172,-8.526356,-2.82827
4.5065498,-0.888986,-8.931704,-2.627541
4.5264015,-0.807334,-9.360984,-2.414686
4.5462546,-0.70945,-9.59574,-2.252972
4.5661077,-0.558108,-9.78423,-2.104072
4.5859609,-0.698408,-9.705585,-2.048479
4.6058125,-0.993871,-9.641134,-2.051467
4.6256652,-1.207549,-9.435856,-2.036163
4.6455188,-1.41957,-9.325809,-1.87172
4.66537,-1.651492,-9.329515,-1.793391
4.6852231,-1.89684,-9.527199,-1.755639
4.7050767,-2.155298,-9.581614,-1.81038
4.7249279,-2.239833,-9.500087,-1.841419
4.744781,-2.148777,-9.382292,-1.787032
4.7646346,-1.988049,-9.319152,-1.625232
4.7844872,-1.926269,-9.272255,-1.46528
4.8043389,-1.992005,-9.226306,-1.355961
4.824192,-2.148279,-9.226132,-1.346518
4.8440452,-2.199611,-9.190575,-1.367013
4.8638968,-2.355502,-9.306549,-1.30145
4.88375,-2.39221,-9.306636,-1.223504
4.9036031,-2.272806,-9.292759,-1.12901
4.9234557,-2.178638,-9.231889,-1.03487
4.9433074,-2.266591,-9.378606,-0.934917
4.963161,-2.272528,-9.316413,-0.838574
4.9830136,-2.065392,-9.254672,-0.760676
5.0028653,-1.918819,-9.346283,-0.786677
5.0227189,-1.660839,-9.505756,-0.824668
5.0425715,-1.491568,-9.889078,-0.937387
5.0624232,-1.42093,-10.191313,-0.903102
5.0822744,-1.587116,-10.251014,-0.689722
5.1021295,-1.811233,-10.193361,-0.458595
5.1219811,-1.937264,-10.091704,-0.15184
5.1418324,-2.002386,-10.140134,0.175438
5.1616874,-2.133291,-10.100735,0.384384
5.1815386,-2.184278,-9.960817,0.008878
5.2013922,-2.74613,-10.584085,-0.86424
5.2212453,-4.09216,-11.34819,-0.988566
5.2410979,-4.52801,-10.515047,-1.263823
5.2609501,-3.75,-10.032309,-1.08102
5.2808032,-2.128158,-9.740963,-0.914068
5.3006577,-1.246172,-10.053052,-1.290274
5.3205075,-1.04685,-10.279505,-1.972152
5.3403606,-1.220775,-9.804352,-2.478851
5.3602138,-1.735863,-9.090296,-3.111332
5.3800673,-2.144831,-8.600346,-3.363652
5.3999186,-2.40804,-8.198666,-3.361584
5.4197702,-2.741112,-8.145639,-3.24466
5.4396234,-3.06613,-8.270703,-2.877218
5.4594765,-3.135504,-8.320033,-2.519323
5.4793296,-3.31324,-8.342988,-2.199199
5.4991822,-3.725416,-8.64844,-2.116407
5.5190344,-4.08808,-8.804772,-2.193903
5.5388861,-3.974557,-8.958212,-2.243128
5.5587387,-3.639694,-8.93473,-2.266754
5.5785923,-3.081022,-8.919646,-2.497315
5.5984454,-2.426888,-9.016641,-2.632128
5.6182966,-1.870255,-8.968057,-2.642499
5.6381502,-1.636446,-8.870221,-2.458031
5.6580029,-1.900987,-8.848376,-2.075294
5.6778545,-2.317922,-8.882412,-1.911425
5.6977077,-2.808657,-8.790025,-1.721125
5.7175608,-3.291989,-8.614587,-1.592106
5.7374139,-3.705343,-8.878543,-1.482107
5.7572651,-3.718866,-8.874674,-1.278101
5.7771187,-3.663531,-8.804533,-1.0593
5.7969718,-3.660399,-8.825286,-1.078597
5.816823,-3.58299,-8.678245,-1.006388
5.8366766,-3.484397,-8.547358,-0.780261
5.8565297,-3.535633,-8.476527,-0.673834
5.8763809,-3.70836,-8.449482,-0.742346
5.8962345,-3.830397,-8.574718,-0.813962
5.9160872,-3.891286,-8.912081,-0.948726
5.9359388,-3.839706,-9.258129,-1.136882
5.9557924,-3.804703,-9.452184,-1.126548
5.9756451,-3.838614,-9.394762,-1.108381
5.9954982,-3.99078,-9.478741,-1.135053
6.0153494,-4.145953,-9.564347,-0.542737
6.035203,-4.386847,-9.411913,-0.288128
6.0550561,-4.467102,-9.526576,-0.170707
6.0749092,-4.441962,-9.497769,-0.37656
6.0947609,-4.625444,-10.874139,-2.138108
6.114614,-3.747194,-12.428253,-2.075323
6.1344652,-2.498656,-12.061461,-2.462503
6.1543188,-1.951983,-11.126287,-1.79296
6.1741714,-2.150424,-9.653019,-1.173829
6.1940246,-2.809845,-9.244587,-1.668672
6.2138767,-3.089104,-9.160704,-2.733125
6.2337294,-2.62008,-8.84987,-3.254285
6.2535825,-1.709374,-8.118566,-3.314427
6.2734361,-0.795143,-7.979817,-3.533392
6.2932873,-0.216637,-8.146568,-3.422683
6.3131404,-0.385783,-8.471883,-2.973264
6.3329935,-0.768204,-9.02525,-2.566115
6.3528452,-1.208028,-9.321451,-2.448119
6.3726983,-1.165114,-9.368587,-2.433256
6.3925514,-1.15662,-9.095208,-2.389806
6.4124031,-1.100835,-9.079091,-2.213315
6.4322557,-1.16113,-8.931627,-2.101036
6.4521093,-1.432068,-9.040468,-1.948871
6.471961,-1.741169,-9.16805,-1.741858
6.4918137,-2.091038,-9.424593,-1.680969
