Time (s), X (m/s2), Y (m/s2), Z (m/s2)
0,1.444556,10.355966,0.338128
0.0039703,1.471917,10.401954,0.293299
0.0079406,1.035377,10.085364,0.276186
0.0119109,0.818405,9.758124,0.141603
0.0158844,1.147981,9.856144,0.209043
0.0198516,1.100806,9.930593,0.275841
0.0238219,0.993163,10.021343,0.426953
0.0277937,1.105614,10.416558,0.188405
0.0317641,1.341557,10.810999,0.44265
0.0357344,1.53906,11.245508,0.654795
0.0397047,1.722896,11.71841,0.871145
0.043675,2.049628,12.154681,1.004732
0.0476469,2.394537,12.544947,1.216073
0.0516172,2.567379,12.611591,1.232525
0.0555859,2.532194,12.345308,0.796053
0.0595578,2.352849,12.19908,0.27451
0.0635281,2.113544,12.071403,-0.589136
0.0674984,1.834131,11.983707,-1.434452
0.0714703,1.544863,11.97394,-1.902509
0.0754391,1.303825,12.040718,-2.294814
0.0794109,0.905707,12.322065,-2.84277
0.0833812,0.707515,12.595675,-2.499547
0.0873516,0.882867,12.677567,-2.357235
0.0913219,0.778805,12.594564,-1.936402
0.0952922,0.751751,12.566753,-1.557955
0.0992625,0.677272,12.375456,-1.396318
0.1032328,0.711767,12.2568,-1.010535
0.1072047,0.811069,12.234246,-0.532154
0.1111734,0.854108,12.041533,0.084563
0.1151453,0.755189,11.645512,0.499967
0.1191156,0.650591,11.190786,0.149925
0.1230859,0.800813,11.236218,-0.274663
0.1270562,1.02083,11.31492,-0.628526
0.1310266,0.816308,11.244579,-0.607993
0.1349969,0.847873,11.29795,-0.682989
0.1389688,1.620875,11.424613,-0.951015
0.142939,1.766346,11.515746,-0.942626
0.1469094,1.466736,11.467729,-1.351172
0.1508797,1.588294,11.795332,-2.228437
0.15485,1.654958,12.015301,-2.345025
0.1588203,1.543542,12.085768,-2.60108
0.1627922,1.371408,12.2957,-2.67531
0.1667625,1.393176,12.013156,-2.92197
0.1707312,1.288962,12.049261,-3.208738
0.1747031,1.246096,12.216711,-3.559412
0.1786734,0.935012,12.083929,-3.226886
0.1826437,0.660397,12.168578,-3.432778
0.1866141,0.721239,12.251647,-3.323219
0.1905844,1.87941,11.826725,-3.635337
0.1945547,1.860055,11.085231,-3.745824
0.1985266,1.928472,10.8465,-4.147208
0.2024969,1.795441,10.651218,-4.147102
0.2064672,1.000106,9.961756,-2.495754
0.2104375,1.195722,9.853951,-2.799856
0.2144078,1.446672,9.661494,-3.125669
0.2183781,1.489596,9.501686,-3.550659
0.22235,1.414944,9.317975,-3.59589
0.2263203,1.328753,9.25514,-3.423958
0.2302906,1.237314,9.341141,-3.478651
0.2342609,1.01223,9.300535,-3.070851
0.2382312,0.952471,9.275951,-2.287114
0.2422016,0.836524,9.211844,-1.584837
0.2461734,0.549661,9.03498,-3.798391
0.2501422,-0.006196,8.982662,-5.554021
0.2541141,-0.717198,8.933983,-5.556118
0.2580844,-1.192667,8.715631,-5.104084
0.2620547,-1.856684,8.247872,-4.435728
0.266025,-2.347783,7.743643,-3.635547
0.2699953,-2.426667,7.374907,-2.831766
0.2739656,-2.351862,7.239233,-2.205941
0.2779375,-2.083453,7.377368,-2.062643
0.2819078,-1.852413,7.667565,-2.306267
0.2858781,-2.029459,7.88606,-2.51667
0.2898484,-2.511968,7.995743,-2.694664
0.2938187,-2.803112,8.062311,-3.094515
0.297789,-3.204917,8.0465,-3.471142
0.3017594,-3.510455,8.016965,-3.626631
0.3057297,-3.609479,8.071457,-3.616221
0.3097016,-3.278629,8.193485,-3.426543
0.3136703,-2.672791,8.414882,-3.037189
0.3176422,-2.01316,8.50452,-2.596129
0.3216125,-1.300358,8.483796,-2.330487
0.3255828,-0.703244,8.280289,-2.153814
0.3295531,-0.407378,8.069656,-2.122805
