Keuwl Accelerometer Data File
2017-08-23 10-29-43

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.8199882,-8.856153,-1.908179,2.795230,9.480817,72.852646,192.159271
0.8300296,-8.834604,-1.857901,2.795230,9.450680,72.796265,191.876144
0.8400562,-8.826224,-1.818396,2.825158,9.444063,72.593651,191.641312
0.8500178,-8.836999,-1.784877,2.870648,9.461447,72.337784,191.418854
0.8599688,-8.850166,-1.756147,2.924517,9.484846,72.041031,191.223465
0.8700106,-8.834604,-1.750161,2.964022,9.481494,71.783333,191.205383
0.8799903,-8.750807,-1.768118,2.987964,9.414392,71.495293,191.422943
0.8900302,-8.631097,-1.783680,3.035848,9.321680,70.993462,191.676224
0.8999814,-8.468291,-1.804031,3.096900,9.195503,70.318932,192.026154
0.9099516,-8.271967,-1.804031,3.165135,9.038697,69.501923,192.302979
0.9200327,-8.088810,-1.777695,3.211822,8.882840,68.802986,192.394958
0.9300743,-7.941567,-1.746570,3.242946,8.754182,68.256912,192.403458
0.9400753,-7.835025,-1.708263,3.296816,8.670339,67.651405,192.299652
0.9499812,-7.794323,-1.681927,3.355474,8.650986,67.177856,192.177063
0.9599926,-7.784747,-1.677138,3.371036,8.647483,67.056168,192.157928
0.9699730,-7.793127,-1.685518,3.345897,8.646896,67.235291,192.204102
0.9799870,-7.808689,-1.709460,3.308787,8.651355,67.513931,192.348251
0.9899625,-7.815871,-1.768118,3.315969,8.672355,67.520004,192.746979
1.0000240,-7.844602,-1.832761,3.342306,8.721685,67.466850,193.150330
1.0099852,-7.878121,-1.899799,3.348291,8.768414,67.551163,193.557953
1.0200112,-7.893683,-1.968034,3.399766,8.817131,67.319847,193.999435
1.0299760,-7.934384,-1.987187,3.414132,8.863389,67.344162,194.060654
1.0399795,-7.981071,-1.990779,3.430891,8.912447,67.359055,194.005905
1.0499800,-8.063671,-1.975216,3.463213,8.995450,67.356506,193.763733
1.0599462,-8.177396,-1.942895,3.513491,9.109844,67.313995,193.365280
1.0701137,-8.341399,-1.878251,3.552995,9.259079,67.435020,192.689774
1.0801070,-8.562862,-1.804031,3.568558,9.450489,67.814552,191.897141
1.0899589,-8.851364,-1.691504,3.573346,9.694155,68.370186,190.818832
1.0999874,-9.144653,-1.643619,3.633201,9.976288,68.642647,190.189301
1.1099555,-9.349358,-1.745373,3.774459,10.232466,68.353996,190.574463
1.1200297,-9.465476,-1.953669,3.997120,10.458920,67.531639,191.662048
1.1299661,-9.466674,-2.232593,4.216189,10.600879,66.564232,193.269989
1.1399754,-9.376891,-2.536657,4.410120,10.668170,65.582001,195.137451
1.1499778,-9.245210,-2.794033,4.568137,10.684026,64.686745,196.815567
1.1601574,-9.093178,-2.965219,4.708198,10.660466,63.790779,198.060776
1.1700888,-9.006987,-3.056198,4.894945,10.697039,62.767773,198.742798
1.1799911,-9.027337,-3.110068,5.109226,10.829105,61.848473,199.009689
1.1900159,-9.200917,-3.210624,5.331887,11.108285,61.315125,199.236237
1.1999727,-9.604341,-3.406949,5.500679,11.580506,61.640999,199.531128
1.2099854,-10.292673,-3.681085,5.537788,12.253840,63.132893,199.679153
1.2199508,-11.042058,-3.973178,5.461174,12.943632,65.044151,199.789856
1.2299635,-11.577163,-4.163517,5.261258,13.380822,66.846619,199.780197
1.2399790,-11.753136,-4.205415,4.914099,13.415294,68.512039,199.687836
1.2499974,-11.550826,-4.206613,4.559757,13.111390,69.648979,200.010757
1.2599667,-11.032481,-4.255693,4.191050,12.545575,70.484245,201.093735
1.2699721,-10.271125,-4.265270,3.705027,11.722446,71.575027,202.551544
1.2801642,-9.357738,-4.241328,3.396175,10.820819,71.708260,204.382080
1.2901410,-8.477868,-4.297592,3.472790,10.119476,69.929337,206.881317
1.3000153,-7.769185,-4.505888,3.598485,9.675347,68.165733,210.112411
1.3102039,-7.151481,-4.768053,3.581726,9.311646,67.377983,213.692276
1.3199780,-6.732495,-4.854244,3.179500,8.888161,69.039574,215.792252
1.3300290,-6.524199,-4.788404,2.440889,8.452924,73.216110,216.276627
1.3400370,-6.507440,-4.594473,1.584962,8.122072,78.746948,215.223389
1.3499579,-6.633136,-4.411316,0.756568,8.001912,84.574677,213.625595
1.3599541,-6.945579,-4.283227,0.004788,8.160093,89.966377,211.661469
1.3699573,-7.378930,-4.176685,-0.620098,8.501637,94.182793,209.511093
1.3799722,-7.727286,-4.119224,-0.907402,8.803541,95.916122,208.060974
1.3899568,-7.982268,-4.173094,-0.724246,9.036363,94.597069,207.600372
1.3999943,-8.360553,-4.267664,-0.299275,9.391559,91.826118,207.042145
1.4099342,-8.852561,-4.375403,0.009577,9.874821,89.944435,206.301010
1.4200106,-9.473856,-4.392163,0.140061,10.443402,89.231560,204.872849
1.4299986,-9.866506,-4.288015,0.392649,10.765183,87.909729,203.489929
1.4399598,-9.680955,-4.218584,0.669179,10.581358,86.374115,203.545700
1.4499624,-9.285912,-4.386178,0.766145,10.298237,85.733498,205.283600
1.4600046,-8.975863,-4.633977,0.756568,10.129770,85.716728,207.306000
1.4699857,-8.817844,-4.735731,0.788889,10.040113,85.493408,208.238571
1.4799657,-8.711303,-4.675876,0.775721,9.917275,85.513786,208.225113
1.4899385,-8.622718,-4.569334,0.675165,9.781919,86.042198,207.919922
1.4999532,-8.468291,-4.495114,0.517148,9.601325,86.912437,207.960129
1.5099671,-8.271967,-4.462792,0.328006,9.404761,88.001312,208.347214
1.5199592,-8.042124,-4.435259,0.248997,9.187452,88.446991,208.876892
1.5300056,-7.836222,-4.394557,0.189142,8.986339,88.793968,209.283722
