Time,X,Y,Z
1.6205,-3.4225,10.6638,2.2709
1.6299,-3.3351,10.4291,1.7466
1.6399,-3.316,10.2879,1.2246
1.6499,-3.3459,10.1861,0.9637
1.6599,-3.5147,10.0628,0.9301
1.6699,-3.8032,9.9048,1.0319
1.6799,-4.0534,9.7516,1.239
1.6899,-4.1503,9.6319,1.4449
1.6999,-4.1348,9.5205,1.5802
1.7098,-4.0893,9.4044,1.6688
1.7199,-4.0318,9.2883,1.7454
1.7298,-3.9456,9.1315,1.8232
1.74,-3.7984,8.7795,1.8364
1.7498,-3.6536,8.4312,1.8316
1.76,-3.6081,8.3917,1.7945
1.7698,-3.559,8.4551,1.6712
1.7799,-3.4333,8.4862,1.5826
1.7898,-3.2262,8.4539,1.5048
1.7998,-3.0047,8.4539,1.3862
1.8099,-2.7677,8.3953,1.2486
1.8198,-2.4612,8.2756,1.1145
1.8298,-2.4995,8.096,1.0283
1.8402,-2.0279,7.9464,0.9266
1.8499,-2.0279,7.8159,0.9266
1.8599,-1.7765,7.7105,0.8631
1.8698,-1.5742,7.6303,0.8092
1.8799,-1.4413,7.6207,0.8092
1.8899,-1.3539,7.6878,0.832
1.8999,-1.2989,7.7991,0.8942
1.9098,-1.2929,7.926,0.9792
1.9199,-1.3108,8.0469,1.0606
1.9298,-1.3252,8.1618,1.1516
1.94,-1.3024,8.2253,1.2234
1.9498,-1.2426,8.2624,1.312
1.9598,-1.2055,8.3606,1.3527
1.97,-1.1372,8.4084,1.4042
1.9799,-1.1133,8.4635,1.4641
1.9899,-1.1576,8.5377,1.5
1.9998,-1.1935,8.6371,1.5814
2.0098,-1.2977,8.8538,1.6855
2.0199,-1.4389,9.074,1.8579
2.0298,-1.5443,9.2835,2.1464
2.0398,-1.6209,9.4248,2.46
2.0499,-1.6664,9.5265,2.6983
2.0599,-1.6328,9.6618,2.8623
2.0699,-1.5359,9.8198,2.9078
2.0799,-1.3886,10.003,2.8611
2.09,-1.2617,10.1945,2.8383
2.0998,-1.0463,10.1789,2.9353
2.1099,-0.7685,10.0772,3.0634
2.1199,-0.4441,9.9168,3.1999
2.1298,-0.176,9.7791,3.4069
2.1398,-0.1065,9.6331,3.5757
2.1498,-0.4178,9.8114,3.6835
2.1599,-0.9828,10.1861,3.7673
2.1698,-1.7035,10.7691,3.8583
2.1799,-2.3248,11.0457,3.7469
2.1899,-2.8252,11.1079,3.4524
2.1999,-3.0478,10.9319,3.0191
2.2098,-3.0358,10.6195,2.4696
2.2199,-2.8946,10.2927,1.8914
2.2298,-2.6671,10.058,1.4653
2.2399,-2.4457,10.0664,1.16
2.2498,-2.3224,10.2975,0.8859
2.2599,-2.3367,10.6662,0.741
2.2698,-2.4325,11.1019,0.7278
2.2799,-2.5798,11.5412,0.735
2.2898,-2.7258,11.9926,0.8092
2.2999,-2.8024,12.311,0.8727
2.3099,-2.8072,12.487,0.9685
2.3199,-2.7342,12.5169,1.0283
2.3299,-2.6073,12.451,1.0475
2.3399,-2.4756,12.3325,1.0511
2.3499,-2.3571,12.0991,1.0295
2.3599,-2.2458,11.8118,1.0235
2.3699,-2.1464,11.4634,0.9984
2.3798,-2.0099,11.0911,1.0044
2.3899,-1.8699,10.6889,0.996
2.3998,-1.7897,10.2795,0.9313
2.4099,-1.7226,9.8402,0.893
2.4199,-1.6759,9.3745,0.8571
2.4299,-1.6496,8.8981,0.8368
2.44,-1.6496,8.4982,0.8487
2.4499,-1.6065,8.0756,0.8308
2.46,-1.5514,7.6555,0.8416
2.4699,-1.5526,7.3227,0.8511
2.4798,-1.5993,7.1096,0.8296
2.4899,-1.6628,7.0174,0.8392
2.4999,-1.6783,6.9157,0.8583
2.5099,-1.7238,6.8869,0.8691
2.5199,-1.7813,6.8714,0.8775
2.5299,-1.8531,6.8845,0.9242
2.5399,-1.9154,6.9168,1.0199
2.5499,-1.9824,6.9528,1.1516
2.5599,-2.0578,7.0162,1.2977
2.5699,-2.1165,7.0617,1.488
2.5799,-2.1416,7.094,1.6616
2.5899,-2.1237,7.1347,1.7765
2.5999,-2.077,7.2341,1.816
2.6099,-1.986,7.3909,1.8399
2.6199,-1.9213,7.3909,1.8627
2.6299,-1.9585,7.914,1.8268
2.6398,-1.9585,7.8566,1.7897
2.6499,-2.1225,8.1415,1.9357
2.6598,-2.3056,8.412,1.9357
2.6698,-2.5295,8.7077,2.144
2.6798,-2.721,9.007,2.2948
2.6899,-2.8,9.2715,2.4708
2.6999,-2.7246,9.4966,2.7234
2.7098,-2.5259,9.7396,3.0586
2.7199,-2.2482,10.0137,3.4333
2.7298,-1.907,10.2592,3.8319
2.7399,-1.5479,10.4698,4.112
2.7498,-1.2929,10.7799,4.148
2.7598,-1.2761,11.2779,3.9373
2.7698,-1.6281,11.9423,3.565
2.7799,-2.3296,12.6581,3.2884
2.7898,-3.1496,13.1693,2.9784
2.7998,-3.8463,13.3704,2.6336
2.8099,-4.1719,13.1573,2.4768
2.8198,-4.2294,12.5791,2.2625
2.8299,-4.379,11.8489,1.7454
2.8398,-4.7082,11.1043,1.0534
2.85,-4.962,10.489,0.7913
2.8599,-5.1607,10.0533,0.8152
2.8699,-5.3163,9.8964,0.8404
2.8799,-5.3882,9.9467,0.9577
2.8898,-5.4696,10.1059,1.0834
2.8999,-5.6132,10.2424,1.1851
2.9098,-5.715,10.2987,1.2869
2.9199,-5.7329,10.2711,1.3647
2.9299,-5.7138,10.1766,1.3958
2.9399,-5.6048,10.0102,1.403
2.9498,-5.3917,9.7971,1.4317
2.9599,-5.1188,9.5672,1.4593
2.9699,-4.7704,9.2285,1.4329
2.9798,-4.3682,8.6479,1.2929
2.9899,-4.2066,8.6467,1.142
2.9998,-3.9409,8.7759,1.0846
3.0099,-3.5602,8.6479,1.0738
3.0199,-3.225,8.424,0.978
3.0299,-2.9137,8.163,0.8296
3.0399,-2.6025,7.9104,0.6919
3.0498,-2.296,7.701,0.5626
3.0599,-2.0171,7.5154,0.5064
3.0699,-1.7945,7.3885,0.4561
3.0799,-1.6209,7.3406,0.4633
3.0899,-1.4796,7.3263,0.5423
3.0999,-1.4257,7.3682,0.6416
3.1099,-1.4222,7.4496,0.7805
3.1198,-1.4269,7.5561,0.9206
3.1299,-1.4461,7.6878,1.0511
3.1398,-1.4006,7.7859,1.1887
3.1498,-1.2797,7.8135,1.3408
3.1598,-1.1935,7.8901,1.5
3.1698,-1.1492,8.0852,1.6568
3.1798,-1.0546,8.2313,1.8004
3.1899,-1.0319,8.4228,1.9884
3.1998,-1.0223,8.5222,2.1895
3.2098,-1.0798,8.6203,2.3427
3.2199,-1.1995,8.746,2.5331
3.2299,-1.2893,8.9136,2.7485
3.2398,-1.3084,9.098,3.0071
3.2498,-1.2761,9.3733,3.134
3.2598,-1.1229,9.5696,3.1089
3.2698,-0.826,9.7205,3.0646
3.2799,-0.4226,9.894,3.0394
3.2898,0.091,9.8629,3.1053
3.2998,0.407,9.8809,3.14
3.3099,0.48,9.9252,3.2178
3.3198,0.2658,10.003,3.3232
3.3299,-0.2322,10.1263,3.5542
3.3399,-0.8619,10.2627,3.869
3.3499,-1.5095,10.4076,3.79
3.3599,-2.1464,10.5608,3.462
3.3699,-2.5714,10.5943,3.1376
3.3799,-2.8012,10.4926,2.6396
3.3898,-2.8778,10.2795,2.0674
3.3999,-2.9544,10.0808,1.561
3.4099,-3.0742,10.0066,1.2773
3.4199,-3.2525,10.0963,1.1456
3.4299,-3.4812,10.3932,1.0942
3.4398,-3.7014,10.8828,1.1995
3.4499,-3.9133,11.4898,1.3479
3.4599,-4.0474,12.0728,1.5036
3.4699,-4.0773,12.3792,1.6532
3.4798,-4.0773,12.4654,1.743
3.4898,-4.0414,12.651,1.798
3.4999,-3.9684,12.6486,2.1045
3.5099,-3.8343,12.4989,1.5514
3.5199,-3.6739,12.2236,1.8208
3.5298,-3.4848,11.9183,1.7286
3.5399,-3.2848,11.5999,1.6233
3.5498,-3.1017,11.2815,1.5191
3.5599,-2.9233,10.9295,1.3922
3.5699,-2.7222,10.5093,1.2163
3.5799,-2.5175,10.064,1.0439
3.5899,-2.3499,9.5553,0.923
3.5999,-2.2494,9.0381,0.8978
3.6098,-2.2134,8.5928,0.9361
3.6198,-2.2601,8.2241,1.0104
3.6299,-2.3391,7.859,1.1253
3.6399,-2.4229,7.5968,1.2175
3.65,-2.4912,7.3514,1.3084
3.6598,-2.5379,7.1718,1.4329
3.6699,-2.5391,6.954,1.5239
3.6798,-2.575,6.8534,1.5862
3.6898,-2.5989,6.7959,1.5945
3.6999,-2.5343,6.6882,1.6388
3.7098,-2.4565,6.6056,1.6855
3.7199,-2.3343,6.5446,1.7454
3.7299,-2.1943,6.529,1.798
3.7399,-2.0231,6.511,1.8699
3.7499,-1.8878,6.5864,1.9369
3.7599,-1.755,6.7229,2.0171
3.7699,-1.6041,6.9157,2.1141
3.78,-1.4641,7.1539,2.2075
3.7899,-1.3503,7.428,2.3403
3.7999,-1.3348,7.7261,2.4864
3.8099,-1.4413,8.0709,2.6336
3.8199,-1.5814,8.4192,2.794
3.8299,-1.8304,8.8178,2.8575
3.8398,-2.1416,9.1794,2.7809
3.8498,-2.4936,9.4487,2.7342
3.8599,-2.8,9.5864,2.8335
3.8699,-3.0742,9.748,3.1268
3.88,-3.1496,9.9539,3.6308
3.8908,-3.0514,10.1718,4.1396
3.8999,-2.8216,10.3406,4.5729
3.9099,-2.5498,10.4866,4.8794
3.9199,-2.3308,10.7188,5.0194
3.9299,-2.2482,11.1594,4.9356
3.9398,-2.3715,11.795,4.7645
3.9498,-2.6659,12.5313,4.6424
3.9599,-3.0083,13.1118,4.4724
3.9699,-3.3734,13.2651,4.2425
3.9799,-3.7529,13.0185,4.0594
3.9899,-3.9612,12.4367,3.948
3.9999,-4.0031,11.6813,3.6536
4.0099,-4.0486,10.9499,2.9652
4.0199,-4.1096,10.3346,2.2637
4.0298,-4.0725,9.8414,1.8866
4.0401,-4.0522,9.5229,1.6652
4.0499,-4.0677,9.4487,1.4988
4.0599,-4.215,9.5361,1.385
4.0699,-4.525,9.7193,1.3623
4.0799,-4.8339,9.9,1.4317
4.0899,-4.9955,10.0221,1.5479
4.0999,-4.9955,10.0521,1.6053
4.1099,-4.8746,9.9946,1.6376
4.1199,-4.7106,9.8976,1.6879
4.1299,-4.5514,9.7648,1.7119
4.1399,-4.3251,9.4152,1.6999
4.1499,-4.1096,8.9519,1.6604
4.1599,-4.0366,8.8538,1.5981
4.1698,-3.9588,9.0345,1.4569
4.1799,-3.7409,9.0537,1.5036
4.1899,-3.4895,8.8777,1.5012
4.1999,-3.2286,8.5724,1.3695
4.2099,-2.9724,8.3103,1.2019
4.2199,-2.6911,8.09,1.0199
4.2299,-2.399,7.8793,0.9014
4.24,-2.1392,7.7345,0.8224
4.2498,-1.9381,7.6591,0.7614
4.2599,-1.7561,7.6363,0.7051
4.2699,-1.5455,7.6219,0.6883
4.2798,-1.3659,7.598,0.6859
4.2899,-1.2546,7.598,0.8116
4.2998,-1.2103,7.5884,0.9026
4.3099,-1.2103,7.6219,0.9996
4.3198,-1.142,7.598,1.1157
4.3299,-1.1468,7.6519,1.1157
4.3398,-1.142,7.7285,1.2067
4.3498,-1.0882,7.7812,1.2953
4.3599,-1.0139,7.7644,1.3862
4.3698,-1.0499,7.8506,1.4664
4.3799,-1.0534,7.8266,1.5455
4.3898,-1.0989,7.8482,1.6628
4.3998,-1.1959,7.944,1.8124
4.4098,-1.3372,8.0409,2.0111
4.4198,-1.549,8.2133,2.2446
4.4298,-1.7957,8.4647,2.5139
4.4398,-1.9704,8.734,2.8072
4.4498,-2.0782,9.0609,2.9365
4.4598,-2.0734,9.4415,2.891
4.4699,-1.8399,9.7205,2.8024
4.4798,-1.421,9.9192,2.8216
4.4898,-0.8751,9.9455,2.9317
4.4998,-0.3843,9.8533,3.1125
4.5098,-0.085,9.7612,3.3136
4.5199,-0.1437,9.7959,3.4584
4.5298,-0.4681,9.8689,3.6847
4.54,-1.0391,10.0664,3.972
4.5498,-1.6999,10.3465,3.875
4.5599,-2.3343,10.6231,3.5733
4.5698,-2.9269,10.8086,3.2477
4.5798,-3.3387,10.7212,2.7102
4.5899,-3.4644,10.4926,2.1033
4.5998,-3.4943,10.2903,1.5526
4.6098,-3.553,10.2496,1.154
4.6198,-3.6272,10.3465,0.9553
4.6299,-3.7661,10.6578,0.8595
4.6399,-3.9744,11.1414,0.9888
4.6499,-4.2066,11.6382,1.1648
4.6598,-4.3826,12.1159,1.3563
4.6699,-4.4317,12.5169,1.5479
4.6799,-4.3634,12.7575,1.6951
4.6899,-4.2294,12.8162,1.7442
4.7,-4.0103,12.6869,1.7406
4.7098,-3.7757,12.4582,1.6843
4.7199,-3.5243,12.1637,1.6161
4.7299,-3.2693,11.7867,1.5407
4.7399,-3.0574,11.3629,1.4413
4.7498,-2.897,11.0049,1.3072
4.76,-2.727,10.6195,1.1636
4.7698,-2.5869,10.2352,1.0187
4.78,-2.4588,9.8222,0.8894
4.7899,-2.3619,9.3913,0.7817
4.7999,-2.326,8.9543,0.7135
4.8099,-2.3164,8.5078,0.735
4.8199,-2.3559,8.1223,0.8009
4.83,-2.4517,7.847,0.905
4.8399,-2.5391,7.6195,1.0163
4.8499,-2.6109,7.4436,1.1552
4.8599,-2.6731,7.3227,1.2378
4.8699,-2.7438,7.2616,1.2809
4.8799,-2.7557,7.1635,1.342
4.8899,-2.7366,7.0737,1.397
4.8999,-2.7054,6.9839,1.4449
4.9099,-2.642,6.8905,1.5239
4.9199,-2.5067,6.7552,1.5909
4.9299,-2.3727,6.6583,1.6891
4.9399,-2.2194,6.5721,1.7849
4.9498,-2.0411,6.5326,1.8926
4.9598,-1.8304,6.5565,2.0135
4.9699,-1.6257,6.6511,2.1344
4.9799,-1.4329,6.8151,2.2853
4.9899,-1.257,7.0222,2.4433
4.9999,-1.1815,7.3155,2.6049
5.0098,-1.1995,7.665,2.7438
5.0199,-1.3408,8.0768,2.818
5.0299,-1.5562,8.5138,2.812
5.0398,-1.8376,8.9112,2.6911
5.0498,-2.2003,9.2273,2.6049
5.0598,-2.484,9.396,2.7533
5.0698,-2.6683,9.5696,3.1831
5.0799,-2.6671,9.7923,3.7517
5.0898,-2.5474,10.0365,4.2737
5.1,-2.3583,10.2472,4.6651
5.1099,-2.1799,10.4854,4.8399
5.12,-2.1428,10.9116,4.8088
5.13,-2.2745,11.552,4.6076
5.1398,-2.5486,11.552,4.4855
5.1498,-2.8551,12.2607,4.391
5.1599,-2.9281,12.9203,4.2162
5.1698,-3.3567,13.1897,4.2162
5.1799,-3.6643,12.9562,4.0833
5.1898,-3.8199,12.4223,3.9863
5.1999,-3.8906,11.7867,3.6763
5.2099,-3.9409,11.2109,2.9868
5.2198,-3.9744,10.7979,2.2434
5.2299,-3.9313,10.4663,1.6412
5.2398,-3.9073,10.1778,1.1768
5.2499,-3.8846,10.0006,1.0092
5.2598,-4.0079,9.8881,0.9708
5.2699,-4.3096,9.8881,1.0223
5.2799,-4.6843,9.9623,1.136
5.2899,-4.9273,10.0652,1.3695
5.2998,-5.035,10.1263,1.561
5.3098,-5.0649,10.1275,1.7083
5.3199,-5.035,10.0616,1.8052
5.3298,-4.9799,9.93,1.8399
5.3399,-4.8949,9.7276,1.8399
5.3498,-4.7166,9.2608,1.7514
5.3599,-4.4915,8.6012,1.6209
5.3698,-4.5298,8.6574,1.5311
5.3798,-4.3946,8.7939,1.4557
5.39,-4.112,8.7604,1.4784
5.3999,-3.7781,8.5353,1.4042
5.4098,-3.45,8.2696,1.2845
5.4198,-3.1017,8.0086,1.1492
5.4298,-2.7485,7.7524,0.9708
5.4398,-2.4229,7.5681,0.808
5.4498,-2.1189,7.4986,0.6919
5.4598,-1.8543,7.4903,0.6129
5.4699,-1.6197,7.5154,0.5794
5.4798,-1.4784,7.5657,0.5878
5.4898,-1.4425,7.6315,0.6225
5.4999,-1.4629,7.7213,0.6871
5.5098,-1.4904,7.7859,0.7997
